source_sheet,source_row,model_key,equipment_group_rpo,orderable_rpo,ref_rpo,description,row_kind,matched_primary_row_key,match_status,source_detail_raw
Equipment Groups 1,123,corvette,ZYC,ZYC,,"Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped), includes (DRG) Carbon Flash Metallic-painted outside mirrors
1. Also includes Carbon Flash Metallic-painted spoiler when (Z51) Z51 Performance Package or (TVS) low-profile rear spoiler and front splitter is ordered. Not available with exterior color (GBA) Black.",derived_cross_check,,unmatched_primary_review,"Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped), includes (DRG) Carbon Flash Metallic-painted outside mirrors
1. Also includes Carbon Flash Metallic-painted spoiler when (Z51) Z51 Performance Package or (TVS) low-profile rear spoiler and front splitter is ordered. Not available with exterior color (GBA) Black."
Equipment Groups 1,124,corvette,ERI,ERI,,Battery Protection Package,derived_cross_check,,unmatched_primary_review,Battery Protection Package
Equipment Groups 1,125,corvette,CC3,CC3,,"Roof panel, transparent, removable",derived_cross_check,,unmatched_primary_review,"Roof panel, transparent, removable"
Equipment Groups 1,126,corvette,C2Z,C2Z,,"Roof panel, visible carbon fiber with body-color surround, removable",derived_cross_check,,unmatched_primary_review,"Roof panel, visible carbon fiber with body-color surround, removable"
Equipment Groups 1,127,corvette,CF8,CF8,,"Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",derived_cross_check,,unmatched_primary_review,"Roof panel, electrochromic dimming, removable
1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."
Equipment Groups 1,128,corvette,TVS,TVS,,"Low-profile rear spoiler and front splitter
1. Requires (ZF1) aero delete if (Z51) Z51 Performance Package is ordered.",derived_cross_check,,unmatched_primary_review,"Low-profile rear spoiler and front splitter
1. Requires (ZF1) aero delete if (Z51) Z51 Performance Package is ordered."
Equipment Groups 1,129,corvette,J6B,J6B,,"Calipers, Blue-painted",derived_cross_check,,unmatched_primary_review,"Calipers, Blue-painted"
Equipment Groups 1,130,corvette,J6E,J6E,,"Calipers, Velocity Yellow-painted",derived_cross_check,,unmatched_primary_review,"Calipers, Velocity Yellow-painted"
Equipment Groups 1,131,corvette,J6F,J6F,,"Calipers, Bright Red-painted",derived_cross_check,,unmatched_primary_review,"Calipers, Bright Red-painted"
Equipment Groups 1,132,corvette,J6N,J6N,,"Calipers, Edge Red-painted",derived_cross_check,,unmatched_primary_review,"Calipers, Edge Red-painted"
Equipment Groups 1,133,corvette,FE9,FE9,,"Emissions, Federal requirements, 50-state certified",derived_cross_check,,unmatched_primary_review,"Emissions, Federal requirements, 50-state certified"
Equipment Groups 1,134,corvette,YF5,YF5,,"Emissions, California state requirements, 50-state certified",derived_cross_check,,unmatched_primary_review,"Emissions, California state requirements, 50-state certified"
Equipment Groups 1,135,corvette,DUE,DUE,,"NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic.",derived_cross_check,,unmatched_primary_review,"NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic."
Equipment Groups 1,136,corvette,NE1,NE1,,"Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements",derived_cross_check,,unmatched_primary_review,"Emissions, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington state requirements"
Equipment Groups 1,137,corvette,DUK,DUK,,"Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",derived_cross_check,,unmatched_primary_review,"Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat."
Equipment Groups 1,138,corvette,NB8,NB8,,"Emissions override, California  (allows a dealer in states that require California emissions - California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington - to order Federal emissions for a vehicle that will be registered in a state that has Federal emission requirements). Do not use for vehicles that will be registered in California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington
1. Requires (FE9) Federal emissions requirements.",derived_cross_check,,unmatched_primary_review,"Emissions override, California  (allows a dealer in states that require California emissions - California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington - to order Federal emissions for a vehicle that will be registered in a state that has Federal emission requirements). Do not use for vehicles that will be registered in California, Colorado, Connecticut, Delaware, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island or Washington
1. Requires (FE9) Federal emissions requirements."
Equipment Groups 1,139,corvette,DPB,DPB,,"Carbon Flash with Blue accent Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic.",derived_cross_check,,unmatched_primary_review,"Carbon Flash with Blue accent Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic."
Equipment Groups 1,140,corvette,NB9,NB9,,"Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)
1. Allows a California dealer (YF5 emissions) to order (NE1) emissions with (NB9) emissions override code for registration in (NE1) states; or, a Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington dealer (NE1 emissions) to order (YF5) emissions with (NB9) emissions override code for registration in California.",derived_cross_check,,unmatched_primary_review,"Emissions override, state-specific (for dealers ordering vehicles in (YF5) or (NE1) emission states - California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington)
1. Allows a California dealer (YF5 emissions) to order (NE1) emissions with (NB9) emissions override code for registration in (NE1) states; or, a Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont and Washington dealer (NE1 emissions) to order (YF5) emissions with (NB9) emissions override code for registration in California."
Equipment Groups 1,141,corvette,DPC,DPC,,"Carbon Flash with Yellow accent Full Length Dual Racing Stripes
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",derived_cross_check,,unmatched_primary_review,"Carbon Flash with Yellow accent Full Length Dual Racing Stripes
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic."
Equipment Groups 1,142,corvette,NC7,NC7,,"Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)
1. Requires (YF5) California state emissions requirements or (NE1) Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington state emissions requirements.",derived_cross_check,,unmatched_primary_review,"Emissions override, Federal (for vehicles ordered by dealers in Federal emission states with (YF5) or (NE1) emissions - Not required for vehicles being shipped to California, Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington)
1. Requires (YF5) California state emissions requirements or (NE1) Colorado, Connecticut, Delaware, Maine, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Vermont or Washington state emissions requirements."
Equipment Groups 1,143,corvette,DPG,DPG,,"Carbon Flash with Orange accent Full Length Dual Racing Stripes
1. Not available with exterior color (G26) Sebring Orange Tintcoat.",derived_cross_check,,unmatched_primary_review,"Carbon Flash with Orange accent Full Length Dual Racing Stripes
1. Not available with exterior color (G26) Sebring Orange Tintcoat."
Equipment Groups 1,144,corvette,DPL,DPL,,"Carbon Flash with Red accent Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",derived_cross_check,,unmatched_primary_review,"Carbon Flash with Red accent Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat."
Equipment Groups 1,145,corvette,DPT,DPT,,Carbon Flash with Silver accent Full Length Dual Racing Stripes,derived_cross_check,,unmatched_primary_review,Carbon Flash with Silver accent Full Length Dual Racing Stripes
Equipment Groups 1,146,corvette,DUW,DUW,,"Edge Blue Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic.",derived_cross_check,,unmatched_primary_review,"Edge Blue Full Length Dual Racing Stripes
1. Not available with exterior color (GTR) Admiral Blue Metallic."
Equipment Groups 1,147,corvette,B6P,B6P,,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",derived_cross_check,,unmatched_primary_review,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO"
Equipment Groups 1,148,corvette,DTH,DTH,,Carbon Flash Metallic Full Length Dual Racing Stripes,derived_cross_check,,unmatched_primary_review,Carbon Flash Metallic Full Length Dual Racing Stripes
Equipment Groups 1,149,corvette,DSY,DSY,,"Edge Orange Full Length Dual Racing Stripes
1. Not available with exterior color (G26) Sebring Orange Tintcoat.",derived_cross_check,,unmatched_primary_review,"Edge Orange Full Length Dual Racing Stripes
1. Not available with exterior color (G26) Sebring Orange Tintcoat."
Equipment Groups 1,150,corvette,DSZ,DSZ,,"Edge Red Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",derived_cross_check,,unmatched_primary_review,"Edge Red Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat."
Equipment Groups 1,151,corvette,ZZ3,ZZ3,,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO",derived_cross_check,,unmatched_primary_review,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO"
Equipment Groups 1,152,corvette,DUB,DUB,,Sterling Silver Full Length Dual Racing Stripes,derived_cross_check,,unmatched_primary_review,Sterling Silver Full Length Dual Racing Stripes
Equipment Groups 1,153,corvette,DT0,DT0,,"Competition Yellow Full Length Dual Racing Stripes
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",derived_cross_check,,unmatched_primary_review,"Competition Yellow Full Length Dual Racing Stripes
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic."
Equipment Groups 1,154,corvette,BC4,BC4,,"NEW!  LS6 engine cover, Blue
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",derived_cross_check,,unmatched_primary_review,"NEW!  LS6 engine cover, Blue
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package."
Equipment Groups 1,155,corvette,DZX,DZX,,"Carbon Flash/Edge Red Stinger Stripe
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",derived_cross_check,,unmatched_primary_review,"Carbon Flash/Edge Red Stinger Stripe
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat."
Equipment Groups 1,156,corvette,BCP,BCP,,"LS6 engine cover, Edge Red
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",derived_cross_check,,unmatched_primary_review,"LS6 engine cover, Edge Red
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package."
Equipment Groups 1,157,corvette,DZV,DZV,,Carbon Flash/Midnight Silver Stinger Stripe,derived_cross_check,,unmatched_primary_review,Carbon Flash/Midnight Silver Stinger Stripe
Equipment Groups 1,158,corvette,BCS,BCS,,"LS6 engine cover, Sterling Silver-painted
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",derived_cross_check,,unmatched_primary_review,"LS6 engine cover, Sterling Silver-painted
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package."
Equipment Groups 1,159,corvette,DZU,DZU,,"Carbon Flash/Competition Yellow Stinger Stripe
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic.",derived_cross_check,,unmatched_primary_review,"Carbon Flash/Competition Yellow Stinger Stripe
1. Not available with exterior color (GBK) Competition Yellow Tintcoat Metallic."
Equipment Groups 1,160,corvette,D3V,D3V,,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",derived_cross_check,,unmatched_primary_review,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers."
Equipment Groups 1,161,corvette,WUB,WUB,,"NEW!  Exhaust, quad center exit",derived_cross_check,,unmatched_primary_review,"NEW!  Exhaust, quad center exit"
Equipment Groups 1,162,corvette,NWI,NWI,,"NEW!  Exhaust tips, bright, center, quad, exposed
1. Requires (WUB) quad center exit exhaust.",derived_cross_check,,unmatched_primary_review,"NEW!  Exhaust tips, bright, center, quad, exposed
1. Requires (WUB) quad center exit exhaust."
Equipment Groups 1,163,corvette,QE6,QE6,,"NEW!  Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 10-spoke Gloss Black forged aluminum",derived_cross_check,,unmatched_primary_review,"NEW!  Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 10-spoke Gloss Black forged aluminum"
Equipment Groups 1,164,corvette,Q99,Q99,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke bright machined-face forged aluminum",derived_cross_check,,unmatched_primary_review,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke bright machined-face forged aluminum"
Equipment Groups 1,165,corvette,Q9A,Q9A,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Midnight Gray forged aluminum with Red stripe",derived_cross_check,,unmatched_primary_review,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Midnight Gray forged aluminum with Red stripe"
Equipment Groups 1,166,corvette,Q9I,Q9I,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Gloss Black forged aluminum",derived_cross_check,,unmatched_primary_review,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 20-spoke Gloss Black forged aluminum"
Equipment Groups 1,167,corvette,SLN,SLN,,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory"
Equipment Groups 1,168,corvette,Q9O,Q9O,,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Satin Graphite with machined edge forged aluminum",derived_cross_check,,unmatched_primary_review,"Wheels, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Satin Graphite with machined edge forged aluminum"
Equipment Groups 1,169,corvette,VUP,VUP,,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory"
Equipment Groups 1,170,corvette,SL9,SL9,,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",derived_cross_check,,unmatched_primary_review,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package."
Equipment Groups 1,171,corvette,SLK,SLK,,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory"
Equipment Groups 1,172,corvette,FE2,FE2,,"Suspension, Magnetic Selective Ride Control
1. Not available with (Z51) Z51 Performance Package.",derived_cross_check,,unmatched_primary_review,"Suspension, Magnetic Selective Ride Control
1. Not available with (Z51) Z51 Performance Package."
Equipment Groups 1,173,corvette,FE4,FE4,,"Suspension, Z51 performance with Magnetic Selective Ride Control, includes (B4Z) Performance Traction Management
1. Requires (Z51) Z51 Performance Package.",derived_cross_check,,unmatched_primary_review,"Suspension, Z51 performance with Magnetic Selective Ride Control, includes (B4Z) Performance Traction Management
1. Requires (Z51) Z51 Performance Package."
Equipment Groups 1,174,corvette,Z51,Z51,,"Z51 Performance Package, includes (J55) Z51 performance brakes, (FE3) Z51 performance suspension, (G0K) 5.56 rear axle ratio, (G96) Electronic Limited Slip Differential (eLSD), (M1N) 8-speed dual clutch transmission, (T0A) Z51 rear spoiler, front splitter, (QTU) 245/35ZR19 XL front and 305/30ZR20 XL rear, blackwall, high performance tires and (V08) heavy-duty cooling system",derived_cross_check,,unmatched_primary_review,"Z51 Performance Package, includes (J55) Z51 performance brakes, (FE3) Z51 performance suspension, (G0K) 5.56 rear axle ratio, (G96) Electronic Limited Slip Differential (eLSD), (M1N) 8-speed dual clutch transmission, (T0A) Z51 rear spoiler, front splitter, (QTU) 245/35ZR19 XL front and 305/30ZR20 XL rear, blackwall, high performance tires and (V08) heavy-duty cooling system"
Equipment Groups 1,175,corvette,Regulatory Options,Regulatory Options,,,derived_cross_check,,unmatched_primary_review,
Equipment Groups 2,4,corvette,,,,,derived_cross_check,,unmatched_primary_review,
Equipment Groups 2,5,corvette,,,UQH,"Audio system feature, Bose Performance Series Sound System with 14 speakers",derived_cross_check,,unmatched_primary_review,"Audio system feature, Bose Performance Series Sound System with 14 speakers"
Equipment Groups 2,6,corvette,,,AP9,"Cargo nets, 2",derived_cross_check,,unmatched_primary_review,"Cargo nets, 2"
Equipment Groups 2,7,corvette,,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",derived_cross_check,,unmatched_primary_review,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
Equipment Groups 2,8,corvette,,,AQA,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated",derived_cross_check,,unmatched_primary_review,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated"
Equipment Groups 2,9,corvette,UQT,UQT,,Performance data and video recorder,derived_cross_check,,unmatched_primary_review,Performance data and video recorder
Equipment Groups 2,10,corvette,,,UVA,"HD Front and Rear Vision Cameras, front camera is curb view",derived_cross_check,,unmatched_primary_review,"HD Front and Rear Vision Cameras, front camera is curb view"
Equipment Groups 2,11,corvette,AH2,AH2,,"Seats, GT2 bucket",derived_cross_check,,unmatched_primary_review,"Seats, GT2 bucket"
Equipment Groups 2,12,corvette,,,KQV,"Seats, heated and vented driver and passenger",derived_cross_check,,unmatched_primary_review,"Seats, heated and vented driver and passenger"
Equipment Groups 2,13,corvette,,,AL9,"Seat adjuster, power driver lumbar control",derived_cross_check,,unmatched_primary_review,"Seat adjuster, power driver lumbar control"
Equipment Groups 2,14,corvette,,,AT9,"Seat adjuster, power passenger lumbar control",derived_cross_check,,unmatched_primary_review,"Seat adjuster, power passenger lumbar control"
Equipment Groups 2,15,corvette,,,AHE,"Seat adjuster, driver power bolster",derived_cross_check,,unmatched_primary_review,"Seat adjuster, driver power bolster"
Equipment Groups 2,16,corvette,,,AHH,"Seat adjuster, passenger power bolster",derived_cross_check,,unmatched_primary_review,"Seat adjuster, passenger power bolster"
Equipment Groups 2,17,corvette,,,KI3,"Steering wheel, heated",derived_cross_check,,unmatched_primary_review,"Steering wheel, heated"
Equipment Groups 2,18,corvette,,,,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console
1. When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede.",derived_cross_check,,unmatched_primary_review,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console
1. When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede."
Equipment Groups 2,19,corvette,,,IWE,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim",derived_cross_check,,unmatched_primary_review,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim"
Equipment Groups 2,20,corvette,,,UTJ,"Theft-deterrent system, electrical, unauthorized entry, activates the horn",derived_cross_check,,unmatched_primary_review,"Theft-deterrent system, electrical, unauthorized entry, activates the horn"
Equipment Groups 2,21,corvette,,,UTU,"Theft deterrent sensor, vehicle inclination",derived_cross_check,,unmatched_primary_review,"Theft deterrent sensor, vehicle inclination"
Equipment Groups 2,22,corvette,,,UTV,"Theft deterrent sensor, vehicle interior movement",derived_cross_check,,unmatched_primary_review,"Theft deterrent sensor, vehicle interior movement"
Equipment Groups 2,23,corvette,,,UG1,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor",derived_cross_check,,unmatched_primary_review,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor"
Equipment Groups 2,24,corvette,,,K7B,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks",derived_cross_check,,unmatched_primary_review,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks"
Equipment Groups 2,25,corvette,,,DYX,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators",derived_cross_check,,unmatched_primary_review,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators"
Equipment Groups 2,26,corvette,,,UFG,Rear Cross Traffic Alert,derived_cross_check,,unmatched_primary_review,Rear Cross Traffic Alert
Equipment Groups 2,27,corvette,,,UFT,Side Blind Zone Alert,derived_cross_check,,unmatched_primary_review,Side Blind Zone Alert
Equipment Groups 2,28,corvette,Additional Options,Additional Options,,,derived_cross_check,,unmatched_primary_review,
Equipment Groups 2,29,corvette,R6P,R6P,,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",derived_cross_check,,unmatched_primary_review,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries."
Equipment Groups 2,30,corvette,D30,D30,,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.",derived_cross_check,,unmatched_primary_review,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge."
Equipment Groups 2,31,corvette,R6X,R6X,,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",derived_cross_check,,unmatched_primary_review,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart."
Equipment Groups 2,32,corvette,PEF,PEF,,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory"
Equipment Groups 2,33,corvette,PDY,PDY,,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory"
Equipment Groups 2,34,corvette,W2D,W2D,,"LPO, Cargo net set, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Cargo net set, Genuine Corvette Accessory"
Equipment Groups 2,35,corvette,RWU,RWU,,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Cargo area organizer, collapsible, Genuine Corvette Accessory"
Equipment Groups 2,36,corvette,CAV,CAV,,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",derived_cross_check,,unmatched_primary_review,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO."
